imf1,imf2,imf3,imf4,imf5,imf6,imf7,res
8.891273909112744,1.7820224884725215,24.52378272432386,38.52419190818945,30.086250894888693,-53.002230045941765,-141.7898124049437,748.7044912258982
2.3535531058296355,-4.6370732672338,26.211717889642046,39.13530221907952,30.20516938952229,-53.278508044736256,-141.9579531455278,748.8777649534244
0.5271236105908521,-8.430064112833989,24.493711258473738,39.59422224080189,30.189939377350335,-53.51584805193502,-142.12356121258506,749.0544548901373
-3.887865432906187,-9.563286006120206,20.304826701027487,39.875208022548705,30.037116522629685,-53.713929858489685,-142.2866294362442,749.2345594875544
-5.231303980964443,-7.870945257080357,14.454003302805432,39.94297132238822,29.747218532251978,-53.872855869959125,-142.4471506466353,749.4180771971935
-6.470247707898042,-3.0404663303524595,7.270542321971083,39.75884329924064,29.324249667369738,-53.9928344470159,-142.60511767388738,749.6050064705723
2.6159631548070252,3.2097708589148977,-0.8528615756298965,39.28210070316031,28.774268598001697,-54.074073950331915,-142.7605233481309,749.7953457592088
4.563742830062447,6.323837643298317,-9.541880126274869,38.471648263409,28.103706014958966,-54.11678274057925,-142.91336049949496,749.9890935146203
-0.26858261026821095,3.2744288355558404,-18.36268659537376,37.2863907092471,27.318992609053815,-54.121165842304755,-143.0636252942346,750.1862481883246
-3.3072887516899163,-1.6378211675490244,-25.634752874974353,35.68523276993638,26.426559071097508,-54.087414935552566,-143.21132724310746,750.3868082318394
3.5754797648581924,-2.5049058486583893,-29.349063722283642,33.62707917473776,25.432836091901656,-54.01572247135374,-143.3564750858843,750.5907720966825
-4.714360832664216,2.074250473326376,-27.726584780534388,31.079673206298022,24.34425436227786,-53.9062973291893,-143.49906113388573,750.7981382343713
2.140298535013143,2.0442192094186176,-20.20762278466546,28.055379057744766,23.167244573037898,-53.759352909177,-143.63907317779575,751.0089050964237
9.576369798472975,-1.8751782479282353,-7.993389143508471,24.61246626334616,21.90823741499287,-53.57510426552459,-143.7764973542084,751.2230711343577
11.288696502065127,-4.4936477830100365,6.137268100148109,20.81847105430892,20.573663578955006,-53.3537668659626,-143.91131938619495,751.4406347996904
-2.7067927006182604,-2.6173645276380264,19.390760441788693,16.7409296618401,19.16995375573556,-53.09555617822201,-144.04352499682602,751.6615945439399
-14.687478109452108,3.5887921483847594,29.425622368356827,12.447378317146708,17.703538636146284,-52.8006876700339,-144.17309990917227,751.8859488186237
15.05936869748665,9.470417031450054,34.00305964796179,8.002013892277212,16.180848910998286,-52.469376809127986,-144.30002984630568,752.1136960752597
-14.372207911142283,1.9247370667113346,31.55712772550461,3.463332676989838,14.608315271103843,-52.10183906323694,-144.42430053129544,752.344834765365
0.42552760855581884,-10.033393353914212,23.163190365670907,-1.0828809807405673,12.99236840727411,-51.698289900089534,-144.54589768721428,752.5793633404578
10.926847045078699,-12.612734577614251,10.556103573304739,-5.543185878595969,11.339439010321044,-51.258944787418386,-144.66480703713202,752.8172802520561
2.518688703263988,0.4570923287740376,-4.301148443440219,-9.82414081425761,9.655957771055887,-50.784019192952684,-144.78101430412056,753.0585839516772
