imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8,imf9
-41.87639050610064,-53.97616646246809,21.652831685218235,29.12109108483874,22.48645158341184,-40.281191542913014,-23.252310104944304,353.51227412974475,720.5674090954362
14.846978163932347,-39.282494866211664,22.753159835928205,30.452988202577288,23.635755329298934,-40.431125097765474,-23.376931146434604,353.33545427113387,720.6146770783739
38.812430700789236,1.5124998357980055,22.508843647586165,30.608402820571897,24.635041228094824,-40.58593131201799,-23.4838860395013,353.16353676134327,720.6660625566369
8.352997655617523,8.208565074616978,23.995614853253073,29.519318262461148,25.473453168599058,-40.74558887981308,-23.572935217834427,352.99652936058914,720.7215656912978
113.52832945790313,-34.93932459387845,27.62624189021774,27.227306839686076,26.142216393778277,-40.909355745492846,-23.643869459469947,352.8344389193976,720.7811863681997
53.49068024748402,-50.39986645298426,31.82790396317046,23.992310563928264,26.643784271084314,-41.076846017312235,-23.69652191306221,352.67727098538876,720.844924408383
-71.70310522216738,-7.422768063942267,35.33098966518986,20.109144157662847,26.980253842967684,-41.24796374746732,-23.73077329842694,352.5250303481369,720.9127796328888
-39.66017027397642,38.552177554992916,36.19016417749633,15.833446077906737,27.151604583246495,-41.422426399057656,-23.746522984391092,352.37772080148244,720.9847518627583
38.20862625831863,44.510712694618825,30.507232182271647,11.446485812804164,27.160953417956566,-41.599706518707116,-23.743689942569482,352.2353452882024,721.0608409190321
-27.807342765935275,22.283410154288234,14.201386590780587,7.248299922327796,27.01300785559852,-41.77918023822347,-23.72223377064446,352.0979053918887,721.141046622751
-48.307252410511516,6.625583253418719,-8.201665406349402,3.543382860269332,26.711814317870395,-41.95991669437971,-23.68215896405168,351.9654006720676,721.225368794956
51.48168521155496,-6.599626964302059,-30.15252974636855,0.6308327553617763,26.25473767770602,-42.14087212921688,-23.623478977877575,351.8378293075516,721.3138072566883
-22.910599074142034,-5.258097264809867,-43.24725311450535,-1.310118363436847,25.634210625735626,-42.320891200353145,-23.546211548755345,351.7151887547571,721.4063618208023
